timestamp,lat,lon,alt,vel_v,vel_h,temp,humidity
2026-02-13T04:41:35.000Z,10.043,78.79021,83.4,-9999,0,33.4,100
2026-02-13T04:41:36.000Z,10.043,78.79021,83.4,-9999,0,33.4,100
2026-02-13T04:41:37.000Z,10.043,78.79021,83.3,-9999,0,33.4,100
2026-02-13T04:41:38.000Z,10.043,78.79021,83.3,-9999,0,33.4,100
2026-02-13T05:04:20.000Z,10.02225,78.74197,4632,3.6,5.3,-273,-1
2026-02-13T05:04:21.000Z,10.02228,78.74191,4641.8,4.8,5.5,-273,-1
2026-02-13T05:04:22.000Z,10.02226,78.74186,4649,5.2,5.5,-273,-1
2026-02-13T05:04:23.000Z,10.02225,78.7418,4657.2,5.9,5.6,-273,-1
2026-02-13T05:04:24.000Z,10.02224,78.74177,4662.8,6.1,5.6,-273,-1
2026-02-13T05:04:25.000Z,10.02225,78.74175,4669.9,6.6,5,-273,-1
2026-02-13T05:04:26.000Z,10.02226,78.74174,4674.3,6.2,4.2,-273,-1
2026-02-13T05:04:27.000Z,10.0223,78.74172,4680,-9999,3.8,-273,-1
2026-02-13T05:04:28.000Z,10.02232,78.7417,4685.6,6.3,3.5,-273,-1
2026-02-13T05:04:29.000Z,10.02234,78.74167,4691.2,6.3,3.5,-273,-1
2026-02-13T05:04:30.000Z,10.02238,78.74162,4696.9,6.3,3.6,-273,22.9
2026-02-13T05:04:31.000Z,10.02239,78.74157,4700.7,5.4,4.1,-273,21.6
2026-02-13T05:04:32.000Z,10.02237,78.74151,4705.9,5.1,5.5,-273,21
2026-02-13T05:04:33.000Z,10.02234,78.74145,4711.1,5,6.9,-273,20.7
2026-02-13T05:04:34.000Z,10.02237,78.74144,4716.4,5,5.8,-273,20.6
2026-02-13T05:04:35.000Z,10.02241,78.74142,4721.7,5.5,4.6,-273,20.8
2026-02-13T05:04:36.000Z,10.02245,78.7414,4725.7,6.1,4.7,-273,20.3
2026-02-13T05:04:37.000Z,10.02246,78.74136,4728.8,5.4,4.5,-273,19.9
