timestamp,lat,lon,alt,vel_v,vel_h,temp,humidity
2026-02-13T04:43:00.000Z,10.04802,78.78704,83.4,-9999,4.9,33.0,101.0
2026-02-13T04:43:01.000Z,10.04805,78.78708,87.7,4.3,5.4,32.4,100.5
2026-02-13T04:43:02.000Z,10.04807,78.78711,91.9,4.3,5.2,32.7,98.1
2026-02-13T04:43:03.000Z,10.04809,78.78714,96.2,4.3,4.2,32.5,98.7
2026-02-13T04:43:04.000Z,10.04811,78.78718,100.5,4.3,4.6,32.6,98.5
2026-02-13T04:43:05.000Z,10.04813,78.78721,104.7,4.3,5.0,32.9,99.8
2026-02-13T04:43:06.000Z,10.04815,78.78725,109.0,4.3,4.6,32.8,99.3
2026-02-13T04:43:07.000Z,10.04818,78.78729,113.2,4.3,5.6,32.6,100.3
2026-02-13T04:43:08.000Z,10.0482,78.78733,117.5,4.3,5.8,32.3,99.7
2026-02-13T04:43:09.000Z,10.04823,78.78737,121.8,4.3,4.8,32.9,99.5
2026-02-13T04:43:10.000Z,10.04825,78.7874,126.0,4.3,4.8,32.3,97.1
2026-02-13T04:43:11.000Z,10.04827,78.78744,130.3,4.3,4.6,32.4,98.4
2026-02-13T04:43:12.000Z,10.04829,78.78748,134.6,4.3,5.4,32.8,97.5
2026-02-13T04:43:13.000Z,10.04831,78.78751,138.8,4.3,4.9,33.0,99.3
2026-02-13T04:43:14.000Z,10.04834,78.78755,143.1,4.3,5.1,32.5,98.9
2026-02-13T04:43:15.000Z,10.04836,78.78759,147.4,4.3,5.2,32.2,98.3
2026-02-13T04:43:16.000Z,10.04838,78.78763,151.6,4.3,5.3,32.6,99.3
2026-02-13T04:43:17.000Z,10.04841,78.78767,155.9,4.3,6.0,32.4,97.1
2026-02-13T04:43:18.000Z,10.04844,78.78771,160.1,4.3,5.3,32.4,97.7
2026-02-13T04:43:19.000Z,10.04846,78.78775,164.4,4.3,5.4,32.4,97.3
2026-02-13T04:43:20.000Z,10.04848,78.78779,168.7,4.3,5.2,32.2,100.4
2026-02-13T04:43:21.000Z,10.04851,78.78783,172.9,4.3,6.0,32.6,97.2
2026-02-13T04:43:22.000Z,10.04853,78.78787,177.2,4.3,5.3,31.9,97.4
2026-02-13T04:43:23.000Z,10.04856,78.78791,181.5,4.3,5.9,31.9,99.6
2026-02-13T04:43:24.000Z,10.04858,78.78794,185.7,4.3,4.0,32.1,97.0
2026-02-13T04:43:25.000Z,10.04861,78.78798,190.0,4.3,5.7,31.7,100.3
2026-02-13T04:43:26.000Z,10.04862,78.78801,194.3,4.3,4.2,32.2,100.0
2026-02-13T04:43:27.000Z,10.04865,78.78805,198.5,4.3,4.9,32.2,97.5
2026-02-13T04:43:28.000Z,10.04867,78.78808,202.8,4.3,4.5,31.8,99.7
2026-02-13T04:43:29.000Z,10.04868,78.78811,207.0,4.3,4.1,32.5,97.0
2026-02-13T04:43:30.000Z,10.04871,78.78816,211.3,4.3,5.9,32.0,100.2
2026-02-13T04:43:31.000Z,10.04874,78.7882,215.6,4.3,5.9,31.9,99.1
2026-02-13T04:43:32.000Z,10.04876,78.78824,219.8,4.3,5.4,32.4,98.4
2026-02-13T04:43:33.000Z,10.04878,78.78827,224.1,4.3,4.2,32.3,96.2
2026-02-13T04:43:34.000Z,10.0488,78.7883,228.4,4.3,4.4,32.1,97.9
2026-02-13T04:43:35.000Z,10.04882,78.78834,232.6,4.3,5.1,32.0,97.3
2026-02-13T04:43:36.000Z,10.04885,78.78838,236.9,4.3,5.7,32.1,97.5
2026-02-13T04:43:37.000Z,10.04887,78.78842,241.2,4.3,5.3,31.7,99.8
2026-02-13T04:43:38.000Z,10.04889,78.78845,245.4,4.3,4.4,31.6,99.7
2026-02-13T04:43:39.000Z,10.04892,78.78849,249.7,4.3,5.4,31.7,99.7
2026-02-13T04:43:40.000Z,10.04894,78.78853,253.9,4.3,5.8,31.5,97.5
2026-02-13T04:43:41.000Z,10.04896,78.78857,258.2,4.3,4.4,31.9,99.0
2026-02-13T04:43:42.000Z,10.04899,78.78861,262.5,4.3,5.9,31.2,99.5
2026-02-13T04:43:43.000Z,10.04901,78.78864,266.7,4.3,4.7,31.9,98.5
2026-02-13T04:43:44.000Z,10.04904,78.78868,271.0,4.3,5.4,32.1,98.5
2026-02-13T04:43:45.000Z,10.04906,78.78872,275.3,4.3,4.8,32.0,96.6
2026-02-13T04:43:46.000Z,10.04908,78.78876,279.5,4.3,5.2,31.9,97.2
2026-02-13T04:43:47.000Z,10.0491,78.78879,283.8,4.3,4.9,31.2,99.1
2026-02-13T04:43:48.000Z,10.04912,78.78882,288.0,4.3,4.4,31.9,98.1
